customer_id,mrr,plan,industry,lower_bound,upper_bound,outlier_flag
cust_29,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_43,4999,enterprise,Finance,-2251.0,4549.0,High — Upsell Opportunity
cust_67,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_76,4999,enterprise,Finance,-2251.0,4549.0,High — Upsell Opportunity
cust_81,4999,enterprise,Healthcare,-2251.0,4549.0,High — Upsell Opportunity
cust_91,4999,enterprise,Healthcare,-2251.0,4549.0,High — Upsell Opportunity
cust_97,4999,enterprise,Finance,-2251.0,4549.0,High — Upsell Opportunity
cust_98,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_101,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_110,4999,enterprise,Finance,-2251.0,4549.0,High — Upsell Opportunity
cust_112,4999,enterprise,SaaS,-2251.0,4549.0,High — Upsell Opportunity
cust_115,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_117,4999,enterprise,Healthcare,-2251.0,4549.0,High — Upsell Opportunity
cust_121,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_124,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_173,4999,enterprise,Finance,-2251.0,4549.0,High — Upsell Opportunity
cust_176,4999,enterprise,Other,-2251.0,4549.0,High — Upsell Opportunity
cust_185,4999,enterprise,SaaS,-2251.0,4549.0,High — Upsell Opportunity
cust_190,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_195,4999,enterprise,Other,-2251.0,4549.0,High — Upsell Opportunity
cust_197,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_200,4999,enterprise,Other,-2251.0,4549.0,High — Upsell Opportunity
cust_210,4999,enterprise,Other,-2251.0,4549.0,High — Upsell Opportunity
cust_250,4999,enterprise,Other,-2251.0,4549.0,High — Upsell Opportunity
cust_254,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_267,4999,enterprise,Ecommerce,-2251.0,4549.0,High — Upsell Opportunity
cust_269,4999,enterprise,Healthcare,-2251.0,4549.0,High — Upsell Opportunity
